colName,real,predicted
d 3m Index,integer,integer
s 1,categorical,categorical
r 1,real,categorical
s 2,categorical,categorical
r 2,real,categorical
s 3,categorical,integer
r 3,real,integer
s 4,categorical,real
r 4,real,categorical
s 5,categorical,real
r 5,real,categorical
class,categorical,categorical
d 3m Index,integer,integer
date,categorical,dateTime
Q E,categorical,categorical
ZN E,real,categorical
PH E,real,categorical
DBO E,categorical,categorical
DQO E,categorical,categorical
SS E,categorical,categorical
SSV E,real,categorical
SED E,real,categorical
COND E,categorical,categorical
PH P,real,categorical
DBO P,categorical,categorical
SS P,categorical,categorical
SSV P,real,categorical
SED P,real,categorical
COND P,categorical,categorical
PH D,real,string
DBO D,categorical,categorical
DQO D,categorical,categorical
SS D,categorical,categorical
SSV D,real,categorical
SED D,real,categorical
COND D,categorical,categorical
PH S,real,categorical
DBO S,categorical,categorical
DQO S,categorical,categorical
SS S,categorical,categorical
SSV S,real,categorical
SED S,real,categorical
COND S,categorical,categorical
RD DBO P,real,categorical
RD SS P,real,categorical
RD SED P,real,categorical
RD DBO S,real,categorical
RD DQO S,real,categorical
RD DBO G,real,categorical
RD DQO G,real,categorical
RD SS G,real,categorical
RD SED G,real,categorical
d 3m Index,integer,integer
attr 1,real,integer
attr 2,real,integer
attr 3,real,integer
attr 4,real,integer
attr 5,real,integer
attr 6,real,integer
attr 7,real,integer
attr 8,real,integer
attr 9,real,integer
attr 1 0,real,integer
attr 1 1,real,integer
attr 1 2,real,integer
attr 1 3,real,integer
attr 1 4,real,integer
attr 1 5,real,integer
attr 1 6,real,integer
attr 1 7,real,integer
attr 1 8,real,integer
attr 1 9,real,integer
attr 2 0,real,integer
attr 2 1,real,integer
attr 2 2,real,integer
attr 2 3,real,integer
attr 2 4,real,integer
attr 2 5,real,integer
attr 2 6,real,integer
attr 2 7,real,integer
attr 2 8,real,integer
attr 2 9,real,integer
attr 3 0,real,integer
attr 3 1,real,integer
attr 3 2,real,integer
attr 3 3,real,integer
attr 3 4,real,integer
attr 3 5,real,integer
attr 3 6,real,integer
class,real,categorical
d 3m Index,integer,integer
name,categorical,string
1landmass,categorical,categorical
2zone,categorical,categorical
3area,integer,categorical
population,integer,string
language,categorical,string
religion,categorical,string
bars,categorical,string
stripes,categorical,string
colours,categorical,string
red,categorical,integer
green,categorical,categorical
blue,categorical,categorical
gold,categorical,string
white,categorical,string
black,categorical,string
orange,categorical,categorical
mainhue,categorical,categorical
circles,categorical,string
crosses,categorical,string
saltires,categorical,categorical
quarters,categorical,string
sunstars,categorical,string
crescent,categorical,string
triangle,categorical,string
icon,categorical,string
animate,categorical,string
text,categorical,string
topleft,categorical,string
botright,categorical,string
d 3m Index,integer,integer
id,integer,string
raw,real,string
residual,real,string
d 3m Index,integer,integer
Age,real,string
Civil,real,string
Can/US,real,string
Income,real,string
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
V 4,real,real
V 5,real,real
V 6,real,real
V 7,real,real
Class,categorical,categorical
d 3m Index,integer,integer
Month,categorical,string
Day,categorical,string
Births,real,string
binary Class,categorical,string
d 3m Index,integer,integer
Length.of.service,real,string
CAP,integer,string
PA.normalized,real,categorical
Minority,categorical,categorical
Laid.off,categorical,string
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
V 4,real,real
V 5,real,real
V 6,real,real
V 7,real,real
Class,categorical,categorical
d 3m Index,integer,integer
ID,real,string
diagnosis target,categorical,string
radius mean,real,string
texture mean,real,string
perimeter mean,real,string
area mean,real,string
smoothness mean,real,string
compactness mean,real,string
concavity mean,real,string
concave points mean,real,string
symmetry mean,real,string
fractal dimension mean,real,string
radius se,real,string
texture se,real,string
perimeter se,real,string
area se,real,string
smoothness se,real,string
compactness se,real,string
concavity se,real,string
concave points se,real,string
symmetry se,real,string
fractal dimension se,real,string
radius worst,real,string
texture worst,real,string
perimeter worst,real,string
area worst,real,string
smoothness worst,real,string
compactness worst,real,string
concavity worst,real,string
concave points worst,real,categorical
symmetry worst,real,string
fractal dimension worst,real,string
d 3m Index,integer,integer
Attribute 1,categorical,string
Attribute 2,categorical,categorical
Attribute 3,categorical,integer
Attribute 4,categorical,categorical
Attribute 5,categorical,categorical
Attribute 6,categorical,categorical
Attribute 7,categorical,categorical
Attribute 8,categorical,categorical
Attribute 9,categorical,categorical
class,categorical,categorical
d 3m Index,integer,integer
att 1,real,categorical
att 2,real,categorical
class,real,categorical
d 3m Index,integer,integer
col 1,categorical,categorical
col 2,integer,categorical
col 3,integer,integer
col 4,real,categorical
col 5,real,categorical
col 6,real,categorical
col 7,real,categorical
col 8,real,categorical
col 9,real,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
V 4,real,real
V 5,real,real
V 6,real,real
V 7,real,real
Class,categorical,categorical
d 3m Index,integer,integer
bkblk,categorical,string
bknwy,categorical,string
bkon 8,categorical,categorical
bkona,categorical,string
bkspr,categorical,string
bkxbq,categorical,string
bkxcr,categorical,string
bkxwp,categorical,string
blxwp,categorical,categorical
bxqsq,categorical,categorical
cntxt,categorical,string
dsopp,categorical,categorical
dwipd,categorical,string
hdchk,categorical,categorical
katri,categorical,categorical
mulch,categorical,string
qxmsq,categorical,string
r 2ar 8,categorical,categorical
reskd,categorical,categorical
reskr,categorical,string
rimmx,categorical,categorical
rkxwp,categorical,categorical
rxmsq,categorical,categorical
simpl,categorical,string
skach,categorical,string
skewr,categorical,categorical
skrxp,categorical,categorical
spcop,categorical,categorical
stlmt,categorical,categorical
thrsk,categorical,string
wkcti,categorical,categorical
wkna 8,categorical,categorical
wknck,categorical,categorical
wkovl,categorical,categorical
wkpos,categorical,categorical
wtoeg,categorical,categorical
class,categorical,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
V 4,real,real
V 5,real,real
Class,categorical,categorical
d 3m Index,integer,integer
lread,real,string
lwrite,real,string
scall,real,string
sread,real,string
swrite,real,categorical
fork,real,string
exec,real,string
rchar,real,string
wchar,real,string
runqsz,real,string
freemem,real,string
freeswap,real,categorical
usr,real,string
d 3m Index,integer,integer
height,integer,string
lenght,integer,categorical
area,integer,string
eccen,real,categorical
p black,real,categorical
p and,real,categorical
mean tr,real,string
blackpix,integer,string
blackand,integer,categorical
wb trans,integer,string
class,categorical,categorical
d 3m Index,integer,integer
climb Rate,real,string
Sgz,real,categorical
p,real,categorical
q,real,categorical
cur Pitch,real,string
cur Roll,real,string
abs Roll,real,string
diff Clb,real,categorical
diff Roll Rate,real,string
diff Diff Clb,real,categorical
Se Time 1,real,string
Se Time 2,real,categorical
Se Time 3,real,integer
Se Time 4,real,categorical
Se Time 5,real,categorical
Se Time 6,real,categorical
Se Time 7,real,categorical
Se Time 8,real,categorical
Se Time 9,real,categorical
Se Time 1 0,real,categorical
Se Time 1 1,real,categorical
Se Time 1 2,real,categorical
Se Time 1 3,real,categorical
Se Time 1 4,real,categorical
diff Se Time 1,real,categorical
diff Se Time 2,real,categorical
diff Se Time 3,real,integer
diff Se Time 4,real,real
diff Se Time 5,real,real
diff Se Time 6,real,real
diff Se Time 7,real,real
diff Se Time 8,real,real
diff Se Time 9,real,categorical
diff Se Time 1 0,real,categorical
diff Se Time 1 1,real,categorical
diff Se Time 1 2,real,categorical
diff Se Time 1 3,real,categorical
diff Se Time 1 4,real,real
alpha,real,categorical
Se,real,categorical
goal,real,string
d 3m Index,integer,integer
group,categorical,string
conc,integer,string
age,real,string
at.risk,integer,string
events,integer,string
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
V 4,real,real
V 5,real,real
V 6,real,real
V 7,real,real
V 8,real,real
V 9,real,real
V 1 0,real,real
V 1 1,real,real
V 1 2,real,real
V 1 3,real,integer
V 1 4,real,real
V 1 5,real,real
V 1 6,real,real
V 1 7,real,real
V 1 8,real,real
V 1 9,real,real
V 2 0,real,real
V 2 1,real,real
V 2 2,real,real
V 2 3,real,real
V 2 4,real,real
V 2 5,real,real
V 2 6,real,real
V 2 7,real,real
V 2 8,real,real
V 2 9,real,real
V 3 0,real,real
V 3 1,real,integer
V 3 2,real,real
V 3 3,real,integer
V 3 4,real,real
V 3 5,real,real
Class,categorical,categorical
d 3m Index,integer,integer
left weight,real,categorical
left distance,real,string
right weight,real,string
right distance,real,string
class,categorical,categorical
d 3m Index,integer,integer
sample code number,real,string
clump thickness,categorical,string
uniformity of cell size,categorical,string
uniformity of cell shape,categorical,string
marginal adhesion,categorical,string
single epithelial cell size,categorical,string
bare nuclei,categorical,string
bland chromatin,categorical,categorical
normal nucleoli,categorical,string
mitoses,categorical,string
class target,categorical,string
d 3m Index,integer,integer
V 1,categorical,real
V 2,real,real
V 3,real,integer
V 4,categorical,real
V 5,categorical,real
V 6,categorical,real
V 7,categorical,real
V 8,categorical,real
V 9,categorical,real
V 1 0,categorical,real
V 1 1,categorical,real
V 1 2,categorical,real
V 1 3,categorical,integer
V 1 4,categorical,real
V 1 5,categorical,real
V 1 6,real,real
Class,categorical,categorical
d 3m Index,integer,integer
duration,real,string
protocol type,categorical,string
service,categorical,string
flag,categorical,string
src bytes,real,string
dst bytes,real,categorical
land,categorical,string
wrong fragment,real,string
urgent,real,string
hot,real,string
num failed logins,real,string
logged in,categorical,string
lnum compromised,real,string
lroot shell,real,string
lsu attempted,real,string
lnum root,real,string
lnum file creations,real,string
lnum shells,real,categorical
lnum access files,real,string
lnum outbound cmds,real,string
is host login,categorical,string
is guest login,categorical,string
count,real,string
srv count,real,string
serror rate,real,string
srv serror rate,real,string
rerror rate,real,string
srv rerror rate,real,string
same srv rate,real,string
diff srv rate,real,categorical
srv diff host rate,real,string
dst host count,real,string
dst host srv count,real,string
dst host same srv rate,real,string
dst host diff srv rate,real,real
dst host same src port rate,real,string
dst host srv diff host rate,real,categorical
dst host serror rate,real,string
dst host srv serror rate,real,string
dst host rerror rate,real,string
dst host srv rerror rate,real,string
label,categorical,string
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
V 4,real,real
V 5,real,real
V 6,real,real
V 7,real,real
V 8,real,real
V 9,real,real
V 1 0,real,real
V 1 1,real,real
V 1 2,categorical,real
V 1 3,real,integer
V 1 4,real,real
V 1 5,real,real
V 1 6,real,real
V 1 7,real,real
V 1 8,real,real
V 1 9,real,real
V 2 0,real,real
V 2 1,real,real
V 2 2,real,real
V 2 3,real,real
V 2 4,real,real
V 2 5,real,real
V 2 6,real,real
V 2 7,real,real
V 2 8,real,real
V 2 9,real,real
V 3 0,real,real
V 3 1,categorical,integer
V 3 2,real,real
V 3 3,real,integer
V 3 4,real,real
V 3 5,real,real
V 3 6,real,real
V 3 7,real,real
V 3 8,real,real
V 3 9,real,real
V 4 0,categorical,real
Class,categorical,categorical
d 3m Index,integer,integer
northing,real,string
easting,real,categorical
resistivity,real,string
isns,categorical,categorical
track,integer,string
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
Class,categorical,categorical
d 3m Index,integer,integer
att 1,real,categorical
att 2,real,categorical
att 3,real,integer
att 4,real,integer
att 5,real,integer
att 6,real,integer
binary Class,categorical,string
d 3m Index,integer,integer
motor,categorical,string
screw,categorical,string
pgain,categorical,string
vgain,categorical,string
binary Class,categorical,string
d 3m Index,integer,integer
V 1,real,real
V 2,categorical,real
V 3,categorical,integer
V 4,categorical,real
V 5,categorical,real
V 6,real,real
V 7,categorical,real
V 8,categorical,real
V 9,categorical,real
V 1 0,real,real
V 1 1,categorical,real
V 1 2,real,real
V 1 3,real,integer
V 1 4,real,real
V 1 5,real,real
V 1 6,categorical,real
Class,categorical,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
V 4,real,real
V 5,real,real
V 6,real,real
V 7,real,real
V 8,real,real
V 9,real,real
V 1 0,real,real
V 1 1,real,real
V 1 2,real,real
V 1 3,real,integer
V 1 4,real,real
V 1 5,real,real
V 1 6,real,real
V 1 7,real,real
V 1 8,real,real
V 1 9,real,real
V 2 0,real,real
V 2 1,real,real
V 2 2,real,real
V 2 3,real,real
V 2 4,real,real
Class,categorical,categorical
d 3m Index,integer,integer
attribute 1,real,string
attribute 2,real,categorical
attribute 3,real,integer
attribute 4,real,categorical
attribute 5,real,categorical
attribute 6,real,categorical
attribute 7,real,categorical
attribute 8,real,categorical
attribute 9,real,categorical
attribute 1 0,real,categorical
attribute 1 1,real,categorical
attribute 1 2,real,categorical
attribute 1 3,real,integer
attribute 1 4,real,categorical
attribute 1 5,real,categorical
attribute 1 6,real,categorical
attribute 1 7,real,categorical
attribute 1 8,real,categorical
attribute 1 9,real,categorical
attribute 2 0,real,categorical
attribute 2 1,real,categorical
attribute 2 2,real,categorical
attribute 2 3,real,integer
attribute 2 4,real,categorical
attribute 2 5,real,categorical
attribute 2 6,real,categorical
attribute 2 7,real,categorical
attribute 2 8,real,categorical
attribute 2 9,real,categorical
attribute 3 0,real,integer
attribute 3 1,real,integer
attribute 3 2,real,integer
attribute 3 3,real,integer
attribute 3 4,real,integer
attribute 3 5,real,integer
attribute 3 6,real,integer
attribute 3 7,real,integer
attribute 3 8,real,integer
attribute 3 9,real,integer
attribute 4 0,real,categorical
attribute 4 1,real,categorical
attribute 4 2,real,categorical
attribute 4 3,real,integer
attribute 4 4,real,categorical
attribute 4 5,real,categorical
attribute 4 6,real,categorical
attribute 4 7,real,integer
attribute 4 8,real,integer
attribute 4 9,real,categorical
attribute 5 0,real,categorical
attribute 5 1,real,categorical
attribute 5 2,real,categorical
attribute 5 3,real,integer
attribute 5 4,real,categorical
attribute 5 5,real,categorical
attribute 5 6,real,categorical
attribute 5 7,real,integer
attribute 5 8,real,categorical
attribute 5 9,real,categorical
attribute 6 0,real,categorical
Class,categorical,categorical
d 3m Index,integer,integer
fixed.acidity,real,categorical
volatile.acidity,real,categorical
citric.acid,real,categorical
residual.sugar,real,categorical
chlorides,real,categorical
free.sulfur.dioxide,real,categorical
total.sulfur.dioxide,real,categorical
density,real,string
p H,real,categorical
sulphates,real,categorical
alcohol,real,string
quality,real,string
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
V 4,real,real
V 5,real,real
V 6,real,real
Class,categorical,categorical
d 3m Index,integer,integer
ID,real,string
English Sepaker,categorical,string
course Instructor,categorical,string
course,categorical,string
summer,categorical,string
class Size,real,categorical
class,categorical,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,real,real
V 3,real,integer
V 4,real,real
V 5,real,real
V 6,real,real
V 7,real,real
V 8,real,real
V 9,real,real
V 1 0,real,real
V 1 1,real,real
V 1 2,real,real
V 1 3,real,integer
V 1 4,real,real
V 1 5,real,real
V 1 6,real,real
V 1 7,real,real
V 1 8,real,real
V 1 9,real,real
V 2 0,real,real
V 2 1,real,real
V 2 2,real,real
V 2 3,real,real
V 2 4,real,real
V 2 5,real,real
V 2 6,real,real
V 2 7,real,real
V 2 8,real,real
V 2 9,real,real
V 3 0,real,real
V 3 1,real,integer
V 3 2,real,real
V 3 3,real,integer
V 3 4,real,real
V 3 5,real,real
V 3 6,real,real
V 3 7,real,real
V 3 8,real,real
V 3 9,real,real
V 4 0,real,real
V 4 1,real,real
V 4 2,real,real
V 4 3,real,real
V 4 4,real,real
V 4 5,real,real
V 4 6,real,real
V 4 7,real,real
V 4 8,real,real
V 4 9,real,real
V 5 0,real,real
V 5 1,real,real
V 5 2,real,real
V 5 3,real,integer
V 5 4,real,real
V 5 5,real,real
V 5 6,real,real
V 5 7,real,real
V 5 8,real,real
V 5 9,real,real
V 6 0,real,real
V 6 1,real,real
V 6 2,real,real
V 6 3,real,real
V 6 4,real,real
V 6 5,real,real
V 6 6,real,real
V 6 7,real,real
V 6 8,real,real
V 6 9,real,real
V 7 0,real,real
V 7 1,real,real
V 7 2,real,real
V 7 3,real,real
V 7 4,real,real
V 7 5,real,real
V 7 6,real,real
V 7 7,real,real
V 7 8,real,real
V 7 9,real,real
V 8 0,real,real
V 8 1,real,real
V 8 2,real,real
V 8 3,real,integer
V 8 4,real,real
V 8 5,real,real
V 8 6,real,real
V 8 7,real,real
V 8 8,real,real
V 8 9,real,real
V 9 0,real,real
V 9 1,real,real
V 9 2,real,real
V 9 3,real,real
V 9 4,real,real
V 9 5,real,real
V 9 6,real,real
V 9 7,real,real
V 9 8,real,real
V 9 9,real,real
V 1 0 0,real,real
V 1 0 1,real,real
V 1 0 2,real,real
V 1 0 3,real,real
V 1 0 4,real,real
V 1 0 5,real,real
V 1 0 6,real,real
V 1 0 7,real,real
V 1 0 8,real,real
V 1 0 9,real,real
V 1 1 0,real,real
V 1 1 1,real,real
V 1 1 2,real,real
V 1 1 3,real,integer
V 1 1 4,real,real
V 1 1 5,real,real
V 1 1 6,real,real
V 1 1 7,real,real
V 1 1 8,real,real
V 1 1 9,real,real
V 1 2 0,real,real
V 1 2 1,real,real
V 1 2 2,real,real
V 1 2 3,real,real
V 1 2 4,real,real
V 1 2 5,real,real
V 1 2 6,real,real
V 1 2 7,real,real
V 1 2 8,real,real
V 1 2 9,real,real
V 1 3 0,real,real
V 1 3 1,real,real
V 1 3 2,real,real
V 1 3 3,real,integer
V 1 3 4,real,real
V 1 3 5,real,real
V 1 3 6,real,real
V 1 3 7,real,real
V 1 3 8,real,real
V 1 3 9,real,real
V 1 4 0,real,real
V 1 4 1,real,real
V 1 4 2,real,real
V 1 4 3,real,real
V 1 4 4,real,real
V 1 4 5,real,real
V 1 4 6,real,real
V 1 4 7,real,real
V 1 4 8,real,real
V 1 4 9,real,real
V 1 5 0,real,real
V 1 5 1,real,real
V 1 5 2,real,real
V 1 5 3,real,real
