colName,real,predicted
d 3m Index,integer,integer
s 1,categorical,categorical
r 1,real,real
s 2,categorical,categorical
r 2,real,real
s 3,categorical,categorical
r 3,real,real
s 4,categorical,categorical
r 4,real,real
s 5,categorical,categorical
r 5,real,real
class,categorical,categorical
d 3m Index,integer,integer
date,categorical,dateTime
Q E,categorical,categorical
ZN E,real,real
PH E,real,real
DBO E,categorical,categorical
DQO E,categorical,categorical
SS E,categorical,categorical
SSV E,real,real
SED E,real,real
COND E,categorical,categorical
PH P,real,real
DBO P,categorical,categorical
SS P,categorical,categorical
SSV P,real,real
SED P,real,real
COND P,categorical,categorical
PH D,real,real
DBO D,categorical,categorical
DQO D,categorical,categorical
SS D,categorical,categorical
SSV D,real,real
SED D,real,real
COND D,categorical,categorical
PH S,real,real
DBO S,categorical,categorical
DQO S,categorical,categorical
SS S,categorical,categorical
SSV S,real,real
SED S,real,real
COND S,categorical,categorical
RD DBO P,real,real
RD SS P,real,real
RD SED P,real,real
RD DBO S,real,real
RD DQO S,real,real
RD DBO G,real,real
RD DQO G,real,real
RD SS G,real,real
RD SED G,real,real
d 3m Index,integer,integer
attr 1,real,integer
attr 2,real,integer
attr 3,real,integer
attr 4,real,integer
attr 5,real,categorical
attr 6,real,integer
attr 7,real,integer
attr 8,real,integer
attr 9,real,integer
attr 1 0,real,integer
attr 1 1,real,integer
attr 1 2,real,integer
attr 1 3,real,integer
attr 1 4,real,integer
attr 1 5,real,integer
attr 1 6,real,integer
attr 1 7,real,integer
attr 1 8,real,integer
attr 1 9,real,integer
attr 2 0,real,integer
attr 2 1,real,integer
attr 2 2,real,integer
attr 2 3,real,integer
attr 2 4,real,integer
attr 2 5,real,integer
attr 2 6,real,integer
attr 2 7,real,integer
attr 2 8,real,integer
attr 2 9,real,integer
attr 3 0,real,integer
attr 3 1,real,integer
attr 3 2,real,integer
attr 3 3,real,integer
attr 3 4,real,integer
attr 3 5,real,integer
attr 3 6,real,integer
class,real,categorical
d 3m Index,integer,integer
name,categorical,string
1landmass,categorical,categorical
2zone,categorical,categorical
3area,integer,integer
population,integer,integer
language,categorical,categorical
religion,categorical,categorical
bars,categorical,categorical
stripes,categorical,categorical
colours,categorical,categorical
red,categorical,categorical
green,categorical,categorical
blue,categorical,categorical
gold,categorical,categorical
white,categorical,categorical
black,categorical,categorical
orange,categorical,categorical
mainhue,categorical,categorical
circles,categorical,categorical
crosses,categorical,categorical
saltires,categorical,categorical
quarters,categorical,categorical
sunstars,categorical,categorical
crescent,categorical,categorical
triangle,categorical,categorical
icon,categorical,categorical
animate,categorical,categorical
text,categorical,categorical
topleft,categorical,categorical
botright,categorical,categorical
d 3m Index,integer,integer
id,integer,integer
raw,real,real
residual,real,real
d 3m Index,integer,integer
Age,real,integer
Civil,real,real
Can/US,real,real
Income,real,real
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
V 4,real,categorical
V 5,real,categorical
V 6,real,categorical
V 7,real,categorical
Class,categorical,categorical
d 3m Index,integer,integer
Month,categorical,categorical
Day,categorical,integer
Births,real,real
binary Class,categorical,categorical
d 3m Index,integer,integer
Length.of.service,real,real
CAP,integer,integer
PA.normalized,real,real
Minority,categorical,categorical
Laid.off,categorical,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
V 4,real,categorical
V 5,real,categorical
V 6,real,categorical
V 7,real,categorical
Class,categorical,categorical
d 3m Index,integer,integer
ID,real,integer
diagnosis target,categorical,categorical
radius mean,real,real
texture mean,real,real
perimeter mean,real,real
area mean,real,categorical
smoothness mean,real,real
compactness mean,real,real
concavity mean,real,real
concave points mean,real,real
symmetry mean,real,real
fractal dimension mean,real,real
radius se,real,real
texture se,real,real
perimeter se,real,real
area se,real,real
smoothness se,real,real
compactness se,real,real
concavity se,real,real
concave points se,real,real
symmetry se,real,real
fractal dimension se,real,real
radius worst,real,real
texture worst,real,real
perimeter worst,real,real
area worst,real,real
smoothness worst,real,real
compactness worst,real,real
concavity worst,real,real
concave points worst,real,real
symmetry worst,real,real
fractal dimension worst,real,real
d 3m Index,integer,integer
Attribute 1,categorical,categorical
Attribute 2,categorical,categorical
Attribute 3,categorical,categorical
Attribute 4,categorical,categorical
Attribute 5,categorical,categorical
Attribute 6,categorical,categorical
Attribute 7,categorical,categorical
Attribute 8,categorical,categorical
Attribute 9,categorical,categorical
class,categorical,categorical
d 3m Index,integer,integer
att 1,real,real
att 2,real,real
class,real,categorical
d 3m Index,integer,integer
col 1,categorical,categorical
col 2,integer,categorical
col 3,integer,integer
col 4,real,real
col 5,real,real
col 6,real,real
col 7,real,real
col 8,real,real
col 9,real,real
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
V 4,real,categorical
V 5,real,categorical
V 6,real,categorical
V 7,real,categorical
Class,categorical,categorical
d 3m Index,integer,integer
bkblk,categorical,categorical
bknwy,categorical,categorical
bkon 8,categorical,categorical
bkona,categorical,categorical
bkspr,categorical,categorical
bkxbq,categorical,categorical
bkxcr,categorical,categorical
bkxwp,categorical,categorical
blxwp,categorical,categorical
bxqsq,categorical,categorical
cntxt,categorical,categorical
dsopp,categorical,categorical
dwipd,categorical,categorical
hdchk,categorical,categorical
katri,categorical,categorical
mulch,categorical,categorical
qxmsq,categorical,categorical
r 2ar 8,categorical,categorical
reskd,categorical,categorical
reskr,categorical,categorical
rimmx,categorical,categorical
rkxwp,categorical,categorical
rxmsq,categorical,categorical
simpl,categorical,categorical
skach,categorical,categorical
skewr,categorical,categorical
skrxp,categorical,categorical
spcop,categorical,categorical
stlmt,categorical,categorical
thrsk,categorical,categorical
wkcti,categorical,categorical
wkna 8,categorical,categorical
wknck,categorical,categorical
wkovl,categorical,categorical
wkpos,categorical,categorical
wtoeg,categorical,categorical
class,categorical,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
V 4,real,categorical
V 5,real,categorical
Class,categorical,categorical
d 3m Index,integer,integer
lread,real,real
lwrite,real,real
scall,real,real
sread,real,real
swrite,real,real
fork,real,real
exec,real,real
rchar,real,real
wchar,real,real
runqsz,real,real
freemem,real,real
freeswap,real,real
usr,real,real
d 3m Index,integer,integer
height,integer,integer
lenght,integer,integer
area,integer,categorical
eccen,real,real
p black,real,real
p and,real,real
mean tr,real,real
blackpix,integer,integer
blackand,integer,integer
wb trans,integer,integer
class,categorical,categorical
d 3m Index,integer,integer
climb Rate,real,real
Sgz,real,real
p,real,real
q,real,real
cur Pitch,real,real
cur Roll,real,real
abs Roll,real,real
diff Clb,real,real
diff Roll Rate,real,real
diff Diff Clb,real,real
Se Time 1,real,real
Se Time 2,real,real
Se Time 3,real,real
Se Time 4,real,real
Se Time 5,real,real
Se Time 6,real,real
Se Time 7,real,real
Se Time 8,real,real
Se Time 9,real,real
Se Time 1 0,real,real
Se Time 1 1,real,real
Se Time 1 2,real,real
Se Time 1 3,real,real
Se Time 1 4,real,real
diff Se Time 1,real,real
diff Se Time 2,real,real
diff Se Time 3,real,real
diff Se Time 4,real,real
diff Se Time 5,real,real
diff Se Time 6,real,real
diff Se Time 7,real,real
diff Se Time 8,real,real
diff Se Time 9,real,real
diff Se Time 1 0,real,real
diff Se Time 1 1,real,real
diff Se Time 1 2,real,real
diff Se Time 1 3,real,real
diff Se Time 1 4,real,real
alpha,real,real
Se,real,real
goal,real,categorical
d 3m Index,integer,integer
group,categorical,categorical
conc,integer,integer
age,real,integer
at.risk,integer,integer
events,integer,integer
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
V 4,real,categorical
V 5,real,categorical
V 6,real,categorical
V 7,real,categorical
V 8,real,categorical
V 9,real,categorical
V 1 0,real,categorical
V 1 1,real,categorical
V 1 2,real,categorical
V 1 3,real,categorical
V 1 4,real,categorical
V 1 5,real,categorical
V 1 6,real,categorical
V 1 7,real,categorical
V 1 8,real,real
V 1 9,real,categorical
V 2 0,real,real
V 2 1,real,categorical
V 2 2,real,real
V 2 3,real,real
V 2 4,real,real
V 2 5,real,categorical
V 2 6,real,real
V 2 7,real,real
V 2 8,real,real
V 2 9,real,real
V 3 0,real,real
V 3 1,real,categorical
V 3 2,real,real
V 3 3,real,real
V 3 4,real,real
V 3 5,real,real
Class,categorical,categorical
d 3m Index,integer,integer
left weight,real,categorical
left distance,real,real
right weight,real,real
right distance,real,real
class,categorical,categorical
d 3m Index,integer,integer
sample code number,real,string
clump thickness,categorical,categorical
uniformity of cell size,categorical,categorical
uniformity of cell shape,categorical,categorical
marginal adhesion,categorical,categorical
single epithelial cell size,categorical,categorical
bare nuclei,categorical,categorical
bland chromatin,categorical,real
normal nucleoli,categorical,categorical
mitoses,categorical,real
class target,categorical,categorical
d 3m Index,integer,integer
V 1,categorical,real
V 2,real,categorical
V 3,real,categorical
V 4,categorical,categorical
V 5,categorical,categorical
V 6,categorical,categorical
V 7,categorical,categorical
V 8,categorical,categorical
V 9,categorical,categorical
V 1 0,categorical,categorical
V 1 1,categorical,categorical
V 1 2,categorical,categorical
V 1 3,categorical,categorical
V 1 4,categorical,categorical
V 1 5,categorical,categorical
V 1 6,real,categorical
Class,categorical,categorical
d 3m Index,integer,integer
duration,real,integer
protocol type,categorical,categorical
service,categorical,categorical
flag,categorical,categorical
src bytes,real,real
dst bytes,real,categorical
land,categorical,categorical
wrong fragment,real,categorical
urgent,real,real
hot,real,integer
num failed logins,real,real
logged in,categorical,categorical
lnum compromised,real,categorical
lroot shell,real,real
lsu attempted,real,categorical
lnum root,real,real
lnum file creations,real,real
lnum shells,real,real
lnum access files,real,real
lnum outbound cmds,real,real
is host login,categorical,categorical
is guest login,categorical,categorical
count,real,integer
srv count,real,real
serror rate,real,integer
srv serror rate,real,real
rerror rate,real,integer
srv rerror rate,real,real
same srv rate,real,real
diff srv rate,real,real
srv diff host rate,real,real
dst host count,real,real
dst host srv count,real,real
dst host same srv rate,real,real
dst host diff srv rate,real,real
dst host same src port rate,real,real
dst host srv diff host rate,real,real
dst host serror rate,real,real
dst host srv serror rate,real,real
dst host rerror rate,real,real
dst host srv rerror rate,real,real
label,categorical,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
V 4,real,categorical
V 5,real,categorical
V 6,real,categorical
V 7,real,categorical
V 8,real,categorical
V 9,real,categorical
V 1 0,real,categorical
V 1 1,real,categorical
V 1 2,categorical,categorical
V 1 3,real,categorical
V 1 4,real,categorical
V 1 5,real,categorical
V 1 6,real,categorical
V 1 7,real,categorical
V 1 8,real,real
V 1 9,real,categorical
V 2 0,real,real
V 2 1,real,categorical
V 2 2,real,real
V 2 3,real,real
V 2 4,real,real
V 2 5,real,categorical
V 2 6,real,real
V 2 7,real,real
V 2 8,real,real
V 2 9,real,real
V 3 0,real,real
V 3 1,categorical,categorical
V 3 2,real,real
V 3 3,real,real
V 3 4,real,real
V 3 5,real,real
V 3 6,real,real
V 3 7,real,real
V 3 8,real,real
V 3 9,real,real
V 4 0,categorical,categorical
Class,categorical,categorical
d 3m Index,integer,integer
northing,real,real
easting,real,real
resistivity,real,real
isns,categorical,categorical
track,integer,integer
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
Class,categorical,categorical
d 3m Index,integer,integer
att 1,real,real
att 2,real,real
att 3,real,real
att 4,real,real
att 5,real,integer
att 6,real,integer
binary Class,categorical,categorical
d 3m Index,integer,integer
motor,categorical,categorical
screw,categorical,categorical
pgain,categorical,categorical
vgain,categorical,categorical
binary Class,categorical,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,categorical,categorical
V 3,categorical,categorical
V 4,categorical,categorical
V 5,categorical,categorical
V 6,real,categorical
V 7,categorical,categorical
V 8,categorical,categorical
V 9,categorical,categorical
V 1 0,real,categorical
V 1 1,categorical,categorical
V 1 2,real,categorical
V 1 3,real,categorical
V 1 4,real,categorical
V 1 5,real,categorical
V 1 6,categorical,categorical
Class,categorical,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
V 4,real,categorical
V 5,real,categorical
V 6,real,categorical
V 7,real,categorical
V 8,real,categorical
V 9,real,categorical
V 1 0,real,categorical
V 1 1,real,categorical
V 1 2,real,categorical
V 1 3,real,categorical
V 1 4,real,categorical
V 1 5,real,categorical
V 1 6,real,categorical
V 1 7,real,categorical
V 1 8,real,real
V 1 9,real,categorical
V 2 0,real,real
V 2 1,real,categorical
V 2 2,real,real
V 2 3,real,real
V 2 4,real,real
Class,categorical,categorical
d 3m Index,integer,integer
attribute 1,real,categorical
attribute 2,real,categorical
attribute 3,real,categorical
attribute 4,real,categorical
attribute 5,real,categorical
attribute 6,real,categorical
attribute 7,real,categorical
attribute 8,real,categorical
attribute 9,real,categorical
attribute 1 0,real,categorical
attribute 1 1,real,categorical
attribute 1 2,real,categorical
attribute 1 3,real,categorical
attribute 1 4,real,categorical
attribute 1 5,real,categorical
attribute 1 6,real,categorical
attribute 1 7,real,categorical
attribute 1 8,real,categorical
attribute 1 9,real,categorical
attribute 2 0,real,categorical
attribute 2 1,real,categorical
attribute 2 2,real,categorical
attribute 2 3,real,categorical
attribute 2 4,real,categorical
attribute 2 5,real,categorical
attribute 2 6,real,categorical
attribute 2 7,real,categorical
attribute 2 8,real,categorical
attribute 2 9,real,categorical
attribute 3 0,real,categorical
attribute 3 1,real,categorical
attribute 3 2,real,categorical
attribute 3 3,real,categorical
attribute 3 4,real,categorical
attribute 3 5,real,categorical
attribute 3 6,real,categorical
attribute 3 7,real,categorical
attribute 3 8,real,categorical
attribute 3 9,real,categorical
attribute 4 0,real,categorical
attribute 4 1,real,categorical
attribute 4 2,real,categorical
attribute 4 3,real,categorical
attribute 4 4,real,categorical
attribute 4 5,real,categorical
attribute 4 6,real,categorical
attribute 4 7,real,categorical
attribute 4 8,real,categorical
attribute 4 9,real,categorical
attribute 5 0,real,categorical
attribute 5 1,real,categorical
attribute 5 2,real,categorical
attribute 5 3,real,categorical
attribute 5 4,real,categorical
attribute 5 5,real,categorical
attribute 5 6,real,categorical
attribute 5 7,real,categorical
attribute 5 8,real,categorical
attribute 5 9,real,categorical
attribute 6 0,real,categorical
Class,categorical,categorical
d 3m Index,integer,integer
fixed.acidity,real,real
volatile.acidity,real,real
citric.acid,real,real
residual.sugar,real,real
chlorides,real,real
free.sulfur.dioxide,real,real
total.sulfur.dioxide,real,real
density,real,real
p H,real,categorical
sulphates,real,categorical
alcohol,real,real
quality,real,real
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
V 4,real,categorical
V 5,real,categorical
V 6,real,categorical
Class,categorical,categorical
d 3m Index,integer,integer
ID,real,integer
English Sepaker,categorical,categorical
course Instructor,categorical,categorical
course,categorical,categorical
summer,categorical,categorical
class Size,real,real
class,categorical,categorical
d 3m Index,integer,integer
V 1,real,real
V 2,real,categorical
V 3,real,categorical
V 4,real,categorical
V 5,real,categorical
V 6,real,categorical
V 7,real,categorical
V 8,real,categorical
V 9,real,categorical
V 1 0,real,categorical
V 1 1,real,categorical
V 1 2,real,categorical
V 1 3,real,categorical
V 1 4,real,categorical
V 1 5,real,categorical
V 1 6,real,categorical
V 1 7,real,categorical
V 1 8,real,real
V 1 9,real,categorical
V 2 0,real,real
V 2 1,real,categorical
V 2 2,real,real
V 2 3,real,real
V 2 4,real,real
V 2 5,real,categorical
V 2 6,real,real
V 2 7,real,real
V 2 8,real,real
V 2 9,real,real
V 3 0,real,real
V 3 1,real,categorical
V 3 2,real,real
V 3 3,real,real
V 3 4,real,real
V 3 5,real,real
V 3 6,real,real
V 3 7,real,real
V 3 8,real,real
V 3 9,real,real
V 4 0,real,categorical
V 4 1,real,real
V 4 2,real,real
V 4 3,real,real
V 4 4,real,categorical
V 4 5,real,real
V 4 6,real,real
V 4 7,real,real
V 4 8,real,categorical
V 4 9,real,real
V 5 0,real,real
V 5 1,real,categorical
V 5 2,real,real
V 5 3,real,real
V 5 4,real,real
V 5 5,real,categorical
V 5 6,real,real
V 5 7,real,categorical
V 5 8,real,categorical
V 5 9,real,real
V 6 0,real,real
V 6 1,real,real
V 6 2,real,real
V 6 3,real,real
V 6 4,real,real
V 6 5,real,real
V 6 6,real,real
V 6 7,real,real
V 6 8,real,real
V 6 9,real,real
V 7 0,real,real
V 7 1,real,real
V 7 2,real,real
V 7 3,real,real
V 7 4,real,real
V 7 5,real,real
V 7 6,real,real
V 7 7,real,real
V 7 8,real,real
V 7 9,real,real
V 8 0,real,real
V 8 1,real,categorical
V 8 2,real,real
V 8 3,real,real
V 8 4,real,categorical
V 8 5,real,categorical
V 8 6,real,real
V 8 7,real,real
V 8 8,real,real
V 8 9,real,real
V 9 0,real,real
V 9 1,real,real
V 9 2,real,categorical
V 9 3,real,real
V 9 4,real,real
V 9 5,real,real
V 9 6,real,real
V 9 7,real,categorical
V 9 8,real,categorical
V 9 9,real,categorical
V 1 0 0,real,real
V 1 0 1,real,real
V 1 0 2,real,real
V 1 0 3,real,real
V 1 0 4,real,real
V 1 0 5,real,real
V 1 0 6,real,real
V 1 0 7,real,real
V 1 0 8,real,real
V 1 0 9,real,real
V 1 1 0,real,real
V 1 1 1,real,real
V 1 1 2,real,real
V 1 1 3,real,real
V 1 1 4,real,real
V 1 1 5,real,real
V 1 1 6,real,real
V 1 1 7,real,real
V 1 1 8,real,real
V 1 1 9,real,real
V 1 2 0,real,real
V 1 2 1,real,real
V 1 2 2,real,real
V 1 2 3,real,real
V 1 2 4,real,real
V 1 2 5,real,real
V 1 2 6,real,real
V 1 2 7,real,real
V 1 2 8,real,real
V 1 2 9,real,real
